Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer,Cost,Package,Field4,Field6,Field5
30,"Resistor, small US symbol",R_Small_US,R8 R9,220R,R_0201_0603Metric,2,~,,,,RC0201JR-07220RL,311-220NCT-ND,,,Yageo,,,,,
31,"Resistor, small US symbol",R_Small_US,R3,768k,R_0201_0603Metric,1,~,,,,,P123157CT-ND,,,,,,,,
32,"Resistor, small US symbol",R_Small_US,R1 R4,NO_STUFF,R_0201_0603Metric,2,~,,,,,,,,,,,,,
33,"Resistor, small US symbol",R_Small_US,R10 R11 R28,NO_STUFF,R_0402_1005Metric,3,~,,,,,,,,,,,,,
34,"Resistor, small US symbol",R_Small_US,R30,NO_STUFF,R_0402_1005Metric,1,~,,,,RC0402FR-070RL,311-0.0LRCT-ND,,,Yageo,,,,,
35,SWITCH TACTILE SPST-NO 0.05A 12V,B3U-1000P,S1,B3U-1000P,Switch_Tactile_SMD_B3U-1000P,1,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,Switches,Active,Tactile Switches,B3U-1000P,SW1020CT-ND,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,/product-detail/en/omron-electronics-inc-emc-div/B3U-1000P/SW1020CT-ND/1534357,Omron Electronics Inc-EMC Div,,,,,
36,,BMA400,U5,BMA400,XDCR_BMA400,1,https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMA400-DS000.pdf,,,,BMA400,828-1081-1-ND,,,Bosch Sensortec,,LGA-12,,,
37,,LM66100DCKT,U1 U4,LM66100DCKT,LM66100DCKT,2,https://www.ti.com/lit/ds/symlink/lm66100.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1591950231750,,,,LM66100DCKT,296-53540-1-ND,,,Texas Instruments,,,,,
38,,MAX38640AENT+,U2,MAX38640AENT+T,MAX38640AENT&plus_,1,https://www.mouser.com/datasheet/2/256/MAX38640A-MAX38643B-1622807.pdf,,,,MAX38640AENT+T,,,,,,,,,
39,,NRF52840-CKAA-R7,U3,NRF52840-CKAA-R7,BGA94N35P10X10_360X354X51N,1,https://www.mouser.com/datasheet/2/297/nRF52840_PS_v1.1-1623672.pdf,,,,NRF52840-CKAA-R7,,,,Nordic,,WLCSP-94,Nordic,IPC7351B,0.514mm
40,"10 pA, Ultra Low Leakage and Quiescent Current, Load Switch with Reverse Blocking, High Enable, SC-70-6",SiP32431DR3,U8,SiP32431DR3,SOT-363_SC-70-6,1,http://www.vishay.com.hk/docs/66597/sip32431.pdf,,,,SiP32431DR3,SIP32431DR3-T1GE3CT-ND,,,Vishay Siliconix,,,,,
41,,W25N01GVZEIG_TR,U6,W25N01GVZEIG_TR,SON127P800X600X80-9N,1,None,,,,W25N01GVZEIG TR,W25N01GVZEIGCT-ND,,,Winbond Electronics,,WSON-8,,,
42,"Two pin crystal, small symbol",Crystal_Small,Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,https://media.digikey.com/pdf/Data%20Sheets/NDK%20PDFs/NX3215SA-32.768K-STD-MUA-9.pdf,,,,NX3215SA-32.768K-STD-MUA-9,644-1155-1-ND,,,"NDK America, Inc.",,XTAL_3215,,,
43,"Four pin crystal, GND on pins 2 and 4, small symbol",Crystal_GND24_Small,Y3,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,https://www.jauch.com/downloadfile/5887341fd9d6d_e24753b87ed34902e36f/jxs21wa_190403_online.pdf,,,,"Q 32,0-JXS21-8-10/10-FU-WA-LF",1908-1284-1-ND,,,Jauch Quartz,,,,,





Component Groups:,43
Component Count:,67
Fitted Components:,67
Number of PCBs:,1
Total components:,67
Schematic Version:,A
Schematic Date:,2020-06-08
PCB Variant:,[u'default']
BoM Date:,"Friday, November 20, 2020 at 03:55:55 PM"
Schematic Source:,shio.sch
KiCad Version:,Eeschema (5.1.5-0-10_14)
